# Light Pollution Monitoring Data Format 1.0,,,,,,,,,,,,,,,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,,,,,,,,,,,,,,,
# Number of header lines: 42,,,,,,,,,,,,,,,,,,,,,,,
# ,his data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,,,,,,,,,,,,,,,
# Device type: SQM-LU-DL-R1,,,,,,,,,,,,,,,,,,,,,,,
# Instrument ID: ,,,,,,,,,,,,,,,,,,,,,,,
# Data supplier: ,,,,,,,,,,,,,,,,,,,,,,,
# Location name: observatory  negara langkawi,,,,,,,,,,,,,,,,,,,,,,,
# Position (lat, lon, elev(m)): 6.307147,6:44:56 PM,0,,,,,,,,,,,,,,,,,,,
# Local timezone: Asia/Kuala_Lumpur,,,,,,,,,,,,,,,,,,,,,,,
# ,ime Synchronization: ,,,,,,,,,,,,,,,,,,,,,,
# Moving / Stationary position: S,A,IONARY,,,,,,,,,,,,,,,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,,,,,,,,,,,,,,,
# Number of channels: 1,,,,,,,,,,,,,,,,,,,,,,,
# Filters per channel: ,,,,,,,,,,,,,,,,,,,,,,,
# Measurement direction per channel: ,,,,,,,,,,,,,,,,,,,,,,,
# Field of view (degrees): 10,,,,,,,,,,,,,,,,,,,,,,,
# Number of fields per line: 6,,,,,,,,,,,,,,,,,,,,,,,
# SQM serial number: 6257,,,,,,,,,,,,,,,,,,,,,,,
# SQM hardware identity: AB0N5UX4,,,,,,,,,,,,,,,,,,,,,,,
# SQM firmware version: 4-6-80,,,,,,,,,,,,,,,,,,,,,,,
# SQM cover offset value: ,,,,,,,,,,,,,,,,,,,,,,,
# SQM readout test ix (Information): i,4,6,12:00:00 AM,6257,,,,,,,,,,,,,,,,,,,
# SQM readout test rx (Reading): r, 20.38m,0000000001Hz,0000686988c,0000001.491s, 022.5C,,,,,,,,,,,,,,,,,,
# SQM readout test cx (Calibration): c,00000019.93m,0000135.909s, 020.6C,00000008.71m, 019.9C,,,,,,,,,,,,,,,,,,
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m,,,,,,,,,,,,,,,,,,,,
# DL time difference (seconds): -784886259,,,,,,,,,,,,,,,,,,,,,,,
# DL retrieved at (U,C): 2024-12-05,41:04.1,,,,,,,,,,,,,,,,,,,,,
# DL trigger seconds : 0,,,,,,,,,,,,,,,,,,,,,,,
# DL trigger minutes : 255,,,,,,,,,,,,,,,,,,,,,,,
# DL trigger threshold : 0,,,,,,,,,,,,,,,,,,,,,,,
# Comment: 10 degree,,,,,,,,,,,,,,,,,,,,,,,
# Comment: D2,,,,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,,,,
# UDM version: 1.0.0.353,,,,,,,,,,,,,,,,,,,,,,,
# UDM setting: Logged continuously every 10 seconds,,hreshold = 0 mpsas.,,,,,,,,,,,,,,,,,,,,,
# blank line,,,,,,,,,,,,,,,,,,,,,,,
# U,C Date & ,ime, Local Date & ,ime, ,emperature, Counts, Frequency, MSAS,,,,,,,,,,,,,,
# YYYY-MM-DD,HH:mm:ss.fff,YYYY-MM-DD,HH:mm:ss.fff,Celsius,number,Hz,mag/arcsec^2,,,,,,,,,,,,,,,,
# END OF HEADER,,,,,,,,,,,,,,,,,,,,,,,
05/12/2024,46:04.1,06/12/2024,3:46:04 AM,22.2,683502,0,20.37,,,,,,,,,,,,,,,,
05/12/2024,46:14.1,06/12/2024,3:46:14 AM,22.2,682647,1,20.37,,,,,,,,,,,,,,,,
05/12/2024,46:24.1,06/12/2024,3:46:24 AM,22.2,682755,1,20.37,,,,,,,,,,,,,,,,
05/12/2024,46:34.1,06/12/2024,3:46:34 AM,22.2,683051,1,20.37,,,,,,,,,,,,,,,,
05/12/2024,46:44.1,06/12/2024,3:46:44 AM,22.2,683430,0,20.37,,,,,,,,,,,,,,,,
05/12/2024,46:54.1,06/12/2024,3:46:54 AM,22.2,683150,1,20.37,,,,,,,,,,,,,,,,
05/12/2024,47:04.1,06/12/2024,3:47:04 AM,22.2,682636,1,20.37,,,,,,,,,,,,,,,,
05/12/2024,47:14.1,06/12/2024,3:47:14 AM,22.2,683704,1,20.37,,,,,,,,,,,,,,,,
05/12/2024,47:24.1,06/12/2024,3:47:24 AM,22.2,684614,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,47:34.1,06/12/2024,3:47:34 AM,22.2,684973,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,47:44.1,06/12/2024,3:47:44 AM,22.2,684864,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,47:54.1,06/12/2024,3:47:54 AM,22.2,685032,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,48:04.1,06/12/2024,3:48:04 AM,22.2,684796,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,48:14.1,06/12/2024,3:48:14 AM,22.2,684642,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,48:24.1,06/12/2024,3:48:24 AM,22.2,685305,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,48:34.1,06/12/2024,3:48:34 AM,22.2,685913,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,48:44.1,06/12/2024,3:48:44 AM,22.2,687483,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,48:54.1,06/12/2024,3:48:54 AM,22.2,687801,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,49:04.1,06/12/2024,3:49:04 AM,22.2,687499,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,49:14.1,06/12/2024,3:49:14 AM,22.2,687393,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,49:24.1,06/12/2024,3:49:24 AM,22.2,687784,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,49:34.1,06/12/2024,3:49:34 AM,22.2,687868,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,49:44.1,06/12/2024,3:49:44 AM,22.2,687567,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,49:54.1,06/12/2024,3:49:54 AM,22.2,687434,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,50:04.1,06/12/2024,3:50:04 AM,22.2,687831,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,50:14.1,06/12/2024,3:50:14 AM,22.2,687630,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,50:24.1,06/12/2024,3:50:24 AM,22.2,687877,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,50:34.1,06/12/2024,3:50:34 AM,22.2,688599,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,50:44.1,06/12/2024,3:50:44 AM,22.2,688084,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,50:54.1,06/12/2024,3:50:54 AM,22.2,689076,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,51:04.1,06/12/2024,3:51:04 AM,22.2,690030,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,51:14.1,06/12/2024,3:51:14 AM,22.2,689598,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,51:24.1,06/12/2024,3:51:24 AM,22.2,689407,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,51:34.1,06/12/2024,3:51:34 AM,22.5,689369,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,51:44.1,06/12/2024,3:51:44 AM,22.2,690168,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,51:54.1,06/12/2024,3:51:54 AM,22.5,691077,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,52:04.1,06/12/2024,3:52:04 AM,22.5,691835,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,52:14.1,06/12/2024,3:52:14 AM,22.2,691426,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,52:24.1,06/12/2024,3:52:24 AM,22.5,691455,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,52:34.1,06/12/2024,3:52:34 AM,22.5,691504,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,52:44.1,06/12/2024,3:52:44 AM,22.5,691887,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,52:54.1,06/12/2024,3:52:54 AM,22.5,691681,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,53:04.1,06/12/2024,3:53:04 AM,22.5,691398,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,53:14.1,06/12/2024,3:53:14 AM,22.2,691484,1,20.38,,,,,,,,,,,,,,,,
05/12/2024,53:24.1,06/12/2024,3:53:24 AM,22.5,691674,0,20.38,,,,,,,,,,,,,,,,
05/12/2024,53:34.1,06/12/2024,3:53:34 AM,22.2,692140,1,20.38,,,,,,,,,,,,,,,,
